Renda,N_dep,Vinculo_emp,Inadimplencia_Y,Random
2.5,3,0,0,0.8988585392695572
1.7,3,0,1,0.6993394238409192
4.0,2,0,0,0.2947031425213382
2.3,2,0,1,0.5532540759016036
3.7,4,1,1,0.8694829724167488
4.8,1,1,0,0.1941756128910097
1.9,3,1,1,0.07033388346616709
5.3,2,0,0,0.8654082667157053
3.1,4,0,1,0.39874986198196893
1.9,3,0,1,0.9225822275779663
2.3,4,0,1,0.3508515972083388
3.6,1,1,0,0.017885951957189228
4.7,2,0,0,0.57968786266519
5.8,2,1,0,0.7907221137833795
6.0,4,1,0,0.3346644813428008
3.9,3,0,0,0.7174759851263002
2.4,4,0,1,0.15454962262512661
1.7,4,0,1,0.11239516696417917
3.7,2,1,0,0.18545996854068436
4.8,1,1,0,0.5988106630685928
3.2,2,0,0,0.01976149134308569
2.7,3,0,1,0.7481902509405345
1.2,3,0,1,0.6324668694525504
8.2,5,1,0,0.6957096911689808
1.8,1,0,1,0.4930329892396663
2.5,1,0,1,0.69197878484767
2.2,3,0,1,0.5148160283911456
4.0,1,1,0,0.07549896622928398
4.2,1,1,0,0.6221612757368364
3.7,1,1,0,0.08325366832751402
2.4,2,0,1,0.6313954651006202
1.6,3,0,1,0.9111865808735595
2.0,1,0,1,0.9598807678774761
2.5,3,0,1,0.7205395089860613
3.8,1,1,0,0.3831937258317828
4.3,2,1,0,0.5206399092187091
2.0,2,0,1,0.13960297144311173
5.2,2,1,0,0.5627591030892984
2.4,3,1,1,0.06890873679240395
2.6,4,1,0,0.360084510805428
1.3,2,0,0,0.8591681170631271
3.8,1,0,0,0.6699341395844123
4.5,0,0,0,0.7595470736685477
3.0,0,0,0,0.7477688906047724
2.1,2,0,1,0.3679544716849408
1.9,2,0,1,0.13270147280087974
1.7,4,1,0,0.2782765146179158
1.7,2,0,1,0.6918052498312266
1.3,3,0,1,0.9354085407241439
2.5,1,0,0,0.44308219675960925
3.5,2,1,0,0.5779534307450558
5.6,3,1,0,0.07587492866875101
3.8,2,1,0,0.37220179315422697
4.0,0,1,0,0.8345253969113233
2.5,1,0,1,0.7995034743695479
1.2,2,1,1,0.3541236552048228
3.0,1,1,0,0.12601445494861974
3.0,1,1,0,0.07107764515703718
2.1,2,0,1,0.7640179635625279
2.5,1,1,0,0.7212762476224448
2.9,1,1,0,0.5394015042398079
4.0,3,1,0,0.4779496988226044
3.2,3,1,0,0.08402732042211669
1.2,2,0,1,0.48468279262589475
3.5,3,1,0,0.5797093752638423
4.0,1,1,0,0.5219523628856926
2.3,3,0,1,0.4644868110101086
2.9,4,1,0,0.5101559932476816
2.4,2,0,1,0.23769315012880865
5.0,3,1,0,0.5869621698656176
2.2,3,1,1,0.3352629148304016
1.3,3,0,1,0.720630380945138
1.7,3,0,1,0.9635406349737732
3.0,2,1,0,0.5124062611636422
3.0,2,0,0,0.7819404327424486
3.5,2,0,0,0.5635737324964976
5.8,2,0,0,0.6723581955822349
4.8,1,1,0,0.6357991552919193
2.3,3,0,1,0.5935685165970483
2.6,2,0,1,0.6273277348001116
1.8,2,0,1,0.8198644609191679
2.9,2,0,1,0.08622773239848436
3.2,1,1,0,0.6054734265158508
4.2,1,1,0,0.4680346487860858
2.6,1,1,0,0.7330601090370295
6.0,1,1,0,0.8174873476698106
4.5,3,0,1,0.5279681976055226
1.3,2,0,1,0.8821951758256181
2.4,2,0,1,0.7101812776901564
4.3,2,1,0,0.45499857744610894
1.8,0,0,1,0.41409770399295054
2.4,2,1,0,0.8569548024258249
